date = 2024-06-30 18:53:08.014, timestamp = 345470653351448, x = 94, y = 652
date = 2024-06-30 18:53:09.737, timestamp = 345472376770198, x = 809, y = 1133
date = 2024-06-30 18:53:11.532, timestamp = 345474171598323, x = 660, y = 904
date = 2024-06-30 18:53:13.278, timestamp = 345475917812906, x = 994, y = 1017
date = 2024-06-30 18:53:15.003, timestamp = 345477642881656, x = 614, y = 1495
date = 2024-06-30 18:53:16.962, timestamp = 345479601367072, x = 400, y = 107
date = 2024-06-30 18:53:18.799, timestamp = 345481438036343, x = 577, y = 1780
date = 2024-06-30 18:53:20.594, timestamp = 345483233485821, x = 734, y = 408
date = 2024-06-30 18:53:22.358, timestamp = 345484997169155, x = 918, y = 418
date = 2024-06-30 18:53:24.071, timestamp = 345486710488425, x = 215, y = 959
date = 2024-06-30 18:53:25.877, timestamp = 345488515960300, x = 107, y = 1741
date = 2024-06-30 18:53:27.529, timestamp = 345490168534779, x = 542, y = 1291
date = 2024-06-30 18:53:29.374, timestamp = 345492013238945, x = 1052, y = 1928
date = 2024-06-30 18:53:31.041, timestamp = 345493680866028, x = 432, y = 1881
date = 2024-06-30 18:53:32.750, timestamp = 345495389808215, x = 747, y = 313
date = 2024-06-30 18:53:34.717, timestamp = 345497356474361, x = 314, y = 104
date = 2024-06-30 18:53:36.350, timestamp = 345498989360298, x = 605, y = 479
date = 2024-06-30 18:53:37.928, timestamp = 345500567419673, x = 759, y = 1469
date = 2024-06-30 18:53:39.682, timestamp = 345502321556131, x = 280, y = 474
date = 2024-06-30 18:53:41.447, timestamp = 345504086294152, x = 585, y = 119
date = 2024-06-30 18:53:43.082, timestamp = 345505721713943, x = 731, y = 1927
date = 2024-06-30 18:53:44.759, timestamp = 345507398322797, x = 881, y = 729
date = 2024-06-30 18:53:46.509, timestamp = 345509148858213, x = 361, y = 2059
date = 2024-06-30 18:53:48.219, timestamp = 345510858528526, x = 217, y = 1122
date = 2024-06-30 18:53:49.998, timestamp = 345512637837900, x = 424, y = 1970
date = 2024-06-30 18:53:51.760, timestamp = 345514399061858, x = 204, y = 1690
date = 2024-06-30 18:53:53.769, timestamp = 345516408691025, x = 102, y = 276
date = 2024-06-30 18:53:55.556, timestamp = 345518195774879, x = 320, y = 1915
date = 2024-06-30 18:53:57.083, timestamp = 345519722916545, x = 643, y = 1389
date = 2024-06-30 18:53:58.816, timestamp = 345521455863941, x = 817, y = 301
date = 2024-06-30 18:54:00.620, timestamp = 345523259726440, x = 915, y = 2025
date = 2024-06-30 18:54:02.439, timestamp = 345525078303003, x = 73, y = 702
date = 2024-06-30 18:54:04.146, timestamp = 345526785708732, x = 596, y = 1556
date = 2024-06-30 18:54:05.955, timestamp = 345528593975919, x = 355, y = 297
date = 2024-06-30 18:54:07.692, timestamp = 345530331863939, x = 221, y = 581
date = 2024-06-30 18:54:09.435, timestamp = 345532074026960, x = 180, y = 1900
date = 2024-06-30 18:54:11.276, timestamp = 345533915466543, x = 165, y = 471
date = 2024-06-30 18:54:13.086, timestamp = 345535725828001, x = 1013, y = 1653
date = 2024-06-30 18:54:14.679, timestamp = 345537318574355, x = 725, y = 1379
date = 2024-06-30 18:54:16.473, timestamp = 345539112119146, x = 840, y = 381
date = 2024-06-30 18:54:18.175, timestamp = 345540814702479, x = 333, y = 844
date = 2024-06-30 18:54:19.995, timestamp = 345542634389458, x = 252, y = 251
date = 2024-06-30 18:54:21.729, timestamp = 345544367961333, x = 541, y = 1794
date = 2024-06-30 18:54:23.437, timestamp = 345546076605083, x = 516, y = 1522
date = 2024-06-30 18:54:25.140, timestamp = 345547779909770, x = 722, y = 521
date = 2024-06-30 18:54:27.020, timestamp = 345549659768103, x = 509, y = 78
date = 2024-06-30 18:54:28.750, timestamp = 345551389734249, x = 332, y = 845
date = 2024-06-30 18:54:30.426, timestamp = 345553064982165, x = 651, y = 1664
date = 2024-06-30 18:54:32.171, timestamp = 345554810670706, x = 151, y = 1464
date = 2024-06-30 18:54:34.085, timestamp = 345556723972269, x = 1007, y = 1522
date = 2024-06-30 18:54:35.901, timestamp = 345558540264456, x = 866, y = 327
date = 2024-06-30 18:54:37.745, timestamp = 345560384171747, x = 919, y = 2049
date = 2024-06-30 18:54:39.548, timestamp = 345562186949351, x = 201, y = 1752
date = 2024-06-30 18:54:41.138, timestamp = 345563776964455, x = 910, y = 697
date = 2024-06-30 18:54:43.105, timestamp = 345565744931642, x = 114, y = 391
date = 2024-06-30 18:54:44.841, timestamp = 345567480525392, x = 656, y = 273
date = 2024-06-30 18:54:46.619, timestamp = 345569257945704, x = 732, y = 504
date = 2024-06-30 18:54:48.366, timestamp = 345571005097266, x = 446, y = 793
date = 2024-06-30 18:54:50.294, timestamp = 345572933216016, x = 352, y = 1975
date = 2024-06-30 18:54:52.066, timestamp = 345574705666537, x = 799, y = 286
date = 2024-06-30 18:54:53.725, timestamp = 345576364356641, x = 877, y = 549
date = 2024-06-30 18:54:55.503, timestamp = 345578142819661, x = 408, y = 1695
date = 2024-06-30 18:54:57.364, timestamp = 345580003023307, x = 241, y = 278
date = 2024-06-30 18:54:59.120, timestamp = 345581759718619, x = 629, y = 614
date = 2024-06-30 18:55:00.929, timestamp = 345583568922785, x = 351, y = 1424
date = 2024-06-30 18:55:02.944, timestamp = 345585583157160, x = 980, y = 94
date = 2024-06-30 18:55:05.202, timestamp = 345587841925389, x = 64, y = 265
date = 2024-06-30 18:55:06.920, timestamp = 345589559623826, x = 761, y = 2035
date = 2024-06-30 18:55:08.956, timestamp = 345591595389451, x = 79, y = 536
date = 2024-06-30 18:55:10.670, timestamp = 345593309540492, x = 351, y = 1199
date = 2024-06-30 18:55:12.444, timestamp = 345595083253513, x = 660, y = 1899
date = 2024-06-30 18:55:14.064, timestamp = 345596703290492, x = 409, y = 1939
date = 2024-06-30 18:55:15.816, timestamp = 345598455273825, x = 727, y = 391
date = 2024-06-30 18:55:17.542, timestamp = 345600181758720, x = 821, y = 1343
date = 2024-06-30 18:55:19.196, timestamp = 345601835472783, x = 638, y = 889
date = 2024-06-30 18:55:20.808, timestamp = 345603447892574, x = 177, y = 2012
date = 2024-06-30 18:55:22.946, timestamp = 345605585403511, x = 71, y = 73
date = 2024-06-30 18:55:24.662, timestamp = 345607301677469, x = 761, y = 1976
date = 2024-06-30 18:55:26.552, timestamp = 345609191292052, x = 225, y = 93
date = 2024-06-30 18:55:28.234, timestamp = 345610873902469, x = 380, y = 1155
date = 2024-06-30 18:55:30.024, timestamp = 345612663046739, x = 667, y = 304
date = 2024-06-30 18:55:31.941, timestamp = 345614580090489, x = 147, y = 275
date = 2024-06-30 18:55:33.653, timestamp = 345616292493614, x = 848, y = 1613
