2024-06-05 16:02:34:842,1717574554842,0.28413427,-0.07998549,9.846337
2024-06-05 16:02:34:843,1717574554843,0.28250623,-0.080435604,9.835716
2024-06-05 16:02:34:845,1717574554845,0.2731018,-0.08886319,9.836224
2024-06-05 16:02:34:847,1717574554847,0.26602453,-0.08853758,9.841903
2024-06-05 16:02:34:849,1717574554849,0.26728866,-0.09029971,9.84827
2024-06-05 16:02:34:851,1717574554851,0.26870605,-0.08809704,9.855645
2024-06-05 16:02:34:853,1717574554853,0.27175146,-0.09137231,9.850838
2024-06-05 16:02:34:855,1717574554855,0.27043945,-0.083251186,9.838848
2024-06-05 16:02:34:857,1717574554857,0.2838757,-0.085511304,9.842295
2024-06-05 16:02:34:859,1717574554859,0.2894207,-0.08187212,9.839891
2024-06-05 16:02:34:861,1717574554861,0.279614,-0.07716991,9.837028
2024-06-05 16:02:34:863,1717574554863,0.273437,-0.086018875,9.8379755
2024-06-05 16:02:34:866,1717574554866,0.26209804,-0.09190862,9.839603
2024-06-05 16:02:34:867,1717574554867,0.26663744,-0.098334655,9.835649
2024-06-05 16:02:34:869,1717574554869,0.2727666,-0.08636365,9.828026
2024-06-05 16:02:34:871,1717574554871,0.2688976,-0.08655518,9.84714
2024-06-05 16:02:34:873,1717574554873,0.2695105,-0.08259996,9.856382
2024-06-05 16:02:34:875,1717574554875,0.27258465,-0.07912358,9.858384
2024-06-05 16:02:34:878,1717574554878,0.27387753,-0.086938255,9.8393545
2024-06-05 16:02:34:879,1717574554879,0.2735519,-0.08907388,9.836146
2024-06-05 16:02:34:881,1717574554881,0.27780402,-0.092215076,9.849372
2024-06-05 16:02:34:883,1717574554883,0.28530264,-0.08419929,9.851527
2024-06-05 16:02:34:885,1717574554885,0.2794991,-0.09216719,9.832727
2024-06-05 16:02:34:887,1717574554887,0.2699606,-0.084793046,9.842688
2024-06-05 16:02:34:889,1717574554889,0.2714929,-0.08406521,9.839988
2024-06-05 16:02:34:891,1717574554891,0.2873521,-0.08586565,9.836655
2024-06-05 16:02:34:893,1717574554893,0.27882874,-0.07454587,9.838034
2024-06-05 16:02:34:895,1717574554895,0.26991272,-0.068723164,9.836807
2024-06-05 16:02:34:897,1717574554897,0.27076504,-0.08159439,9.831061
2024-06-05 16:02:34:899,1717574554899,0.27939376,-0.07075345,9.833753
2024-06-05 16:02:34:901,1717574554901,0.28204653,-0.07745721,9.83901
2024-06-05 16:02:34:903,1717574554903,0.2809835,-0.08831731,9.840476
2024-06-05 16:02:34:905,1717574554905,0.28108886,-0.09358456,9.8431
2024-06-05 16:02:34:907,1717574554907,0.27572584,-0.095078535,9.848625
2024-06-05 16:02:34:910,1717574554910,0.27833074,-0.098392114,9.848884
2024-06-05 16:02:34:911,1717574554911,0.2750076,-0.08775228,9.838159
2024-06-05 16:02:34:913,1717574554913,0.26425284,-0.10039367,9.833456
2024-06-05 16:02:34:915,1717574554915,0.26047,-0.09156385,9.836578
2024-06-05 16:02:34:917,1717574554917,0.26063278,-0.09140105,9.832718
2024-06-05 16:02:34:919,1717574554919,0.2669056,-0.09130528,9.847457
